Avg_Hosp,Facility ID,State,Period,Claim Type,Avg_State,Avg_Nation,Percent_Hosp,Percent_State,Percent_Nation
4.0,500041,47,1,1,7.0,13.0,0.0002,0.0004,0.0006
0.0,220011,20,1,2,0.0,1.0,0.0,0.0,0.0
0.0,370180,36,2,4,0.0,0.0,0.0,0.0,0.0
0.0,370054,36,2,2,0.0,0.0,0.0,0.0,0.0
494.0,490021,45,1,7,571.0,585.0,0.023799999999999998,0.0276,0.027000000000000003
1451.0,360002,35,3,3,2833.0,2857.0,0.0836,0.1291,0.132
3107.0,150150,16,3,5,3749.0,3228.0,0.16510000000000002,0.1721,0.1491
0.0,50352,5,2,2,0.0,0.0,0.0,0.0,0.0
0.0,50674,5,2,5,0.0,0.0,0.0,0.0,0.0
1.0,230230,22,1,3,5.0,7.0,0.0,0.0002,0.0003
12.0,50022,5,1,1,13.0,13.0,0.0005,0.0006,0.0006
12.0,670098,43,1,1,18.0,13.0,0.0006,0.0008,0.0006
1245.0,180138,18,2,7,1418.0,1545.0,0.0654,0.0673,0.07139999999999999
9824.0,100179,10,2,3,9800.0,10139.0,0.42950000000000005,0.4458,0.46840000000000004
11839.0,450379,43,2,3,10339.0,10139.0,0.37189999999999995,0.4429,0.46840000000000004
710.0,100046,10,3,4,672.0,855.0,0.0354,0.030600000000000002,0.0395
0.0,520103,48,2,2,0.0,0.0,0.0,0.0,0.0
16457.0,170145,17,4,8,21466.0,21646.0,1.0,1.0,1.0
1675.0,10131,2,2,7,1495.0,1545.0,0.0802,0.0719,0.07139999999999999
624.0,40036,3,1,7,562.0,585.0,0.0292,0.0263,0.027000000000000003
0.0,170194,17,2,1,0.0,0.0,0.0,0.0,0.0
1271.0,360147,35,2,7,1526.0,1545.0,0.063,0.0695,0.07139999999999999
9.0,330057,34,2,6,15.0,19.0,0.0005,0.0007000000000000001,0.0009
1178.0,110046,11,2,7,1500.0,1545.0,0.0687,0.07150000000000001,0.07139999999999999
